day,week day,temperature_max,temperature_min,rain,snow,wind,sunrise,sunset,place
25 NOV,Sáb,10°,4°,0 mm,0 cm,12 km/h,08:11,17:54,Toledo
12 NOV,Hoy,16°,9°,0 mm,0 cm,22 km/h,07:50,17:55,Cuenca
13 NOV,Mañ,16°,9°,0 mm,0 cm,12 km/h,07:51,17:54,Cuenca
14 NOV,Mar,17°,7°,0 mm,0 cm,12 km/h,07:52,17:53,Cuenca
15 NOV,Mié,19°,7°,0 mm,0 cm,7 km/h,07:53,17:52,Cuenca
16 NOV,Jue,17°,8°,0 mm,0 cm,10 km/h,07:54,17:51,Cuenca
17 NOV,Vie,17°,6°,0 mm,0 cm,8 km/h,07:55,17:51,Cuenca
18 NOV,Sáb,19°,6°,0 mm,0 cm,7 km/h,07:56,17:50,Cuenca
19 NOV,Dom,21°,7°,0 mm,0 cm,8 km/h,07:58,17:49,Cuenca
20 NOV,Lun,19°,8°,0 mm,0 cm,8 km/h,07:59,17:48,Cuenca
21 NOV,Mar,13°,6°,0 mm,0 cm,19 km/h,08:00,17:48,Cuenca
22 NOV,Mié,9°,3°,0 mm,0 cm,20 km/h,08:01,17:47,Cuenca
23 NOV,Jue,9°,2°,0 mm,0 cm,20 km/h,08:02,17:47,Cuenca
24 NOV,Vie,10°,2°,0 mm,0 cm,25 km/h,08:03,17:46,Cuenca
25 NOV,Sáb,7°,0°,0 mm,0 cm,15 km/h,08:04,17:46,Cuenca
12 NOV,Hoy,18°,11°,0 mm,0 cm,16 km/h,07:55,17:58,Guadalajara
13 NOV,Mañ,17°,10°,0 mm,0 cm,11 km/h,07:56,17:57,Guadalajara
14 NOV,Mar,16°,9°,0 mm,0 cm,8 km/h,07:57,17:56,Guadalajara
15 NOV,Mié,18°,8°,0 mm,0 cm,7 km/h,07:58,17:55,Guadalajara
16 NOV,Jue,16°,9°,0 mm,0 cm,6 km/h,08:00,17:54,Guadalajara
17 NOV,Vie,17°,7°,0 mm,0 cm,8 km/h,08:01,17:53,Guadalajara
18 NOV,Sáb,15°,7°,0 mm,0 cm,5 km/h,08:02,17:53,Guadalajara
19 NOV,Dom,18°,6°,0 mm,0 cm,5 km/h,08:03,17:52,Guadalajara
20 NOV,Lun,17°,9°,0 mm,0 cm,9 km/h,08:04,17:51,Guadalajara
21 NOV,Mar,14°,5°,0 mm,0 cm,20 km/h,08:05,17:51,Guadalajara
22 NOV,Mié,10°,3°,0 mm,0 cm,12 km/h,08:07,17:50,Guadalajara
23 NOV,Jue,11°,5°,0 mm,0 cm,14 km/h,08:08,17:49,Guadalajara
24 NOV,Vie,11°,3°,0 mm,0 cm,12 km/h,08:09,17:49,Guadalajara
25 NOV,Sáb,9°,1°,0 mm,0 cm,16 km/h,08:10,17:48,Guadalajara
12 NOV,Hoy,22°,15°,0 mm,0 cm,18 km/h,07:35,17:35,Barcelona
13 NOV,Mañ,22°,13°,0 mm,0 cm,16 km/h,07:37,17:34,Barcelona
14 NOV,Mar,23°,15°,0 mm,0 cm,18 km/h,07:38,17:33,Barcelona
15 NOV,Mié,17°,14°,0 mm,0 cm,14 km/h,07:39,17:32,Barcelona
16 NOV,Jue,20°,14°,0 mm,0 cm,16 km/h,07:40,17:31,Barcelona
17 NOV,Vie,16°,13°,1 mm,0 cm,9 km/h,07:41,17:30,Barcelona
18 NOV,Sáb,18°,11°,0 mm,0 cm,9 km/h,07:43,17:29,Barcelona
19 NOV,Dom,19°,12°,0 mm,0 cm,8 km/h,07:44,17:29,Barcelona
20 NOV,Lun,19°,12°,0 mm,0 cm,8 km/h,07:45,17:28,Barcelona
21 NOV,Mar,18°,12°,0 mm,0 cm,29 km/h,07:46,17:27,Barcelona
22 NOV,Mié,16°,12°,0 mm,0 cm,31 km/h,07:47,17:27,Barcelona
23 NOV,Jue,13°,9°,1 mm,0 cm,12 km/h,07:48,17:26,Barcelona
24 NOV,Vie,15°,8°,0 mm,0 cm,27 km/h,07:49,17:25,Barcelona
25 NOV,Sáb,12°,8°,0 mm,0 cm,24 km/h,07:51,17:25,Barcelona
12 NOV,Hoy,23°,16°,0 mm,0 cm,31 km/h,07:38,17:39,Tarragona
13 NOV,Mañ,22°,13°,0 mm,0 cm,19 km/h,07:40,17:38,Tarragona
14 NOV,Mar,23°,15°,0 mm,0 cm,18 km/h,07:41,17:37,Tarragona
15 NOV,Mié,18°,15°,0 mm,0 cm,14 km/h,07:42,17:36,Tarragona
16 NOV,Jue,20°,15°,0 mm,0 cm,14 km/h,07:43,17:35,Tarragona
17 NOV,Vie,18°,13°,0 mm,0 cm,14 km/h,07:44,17:34,Tarragona
18 NOV,Sáb,18°,11°,0 mm,0 cm,9 km/h,07:45,17:34,Tarragona
19 NOV,Dom,18°,12°,0 mm,0 cm,8 km/h,07:47,17:33,Tarragona
20 NOV,Lun,18°,14°,0 mm,0 cm,8 km/h,07:48,17:32,Tarragona
21 NOV,Mar,18°,13°,0 mm,0 cm,25 km/h,07:49,17:32,Tarragona
22 NOV,Mié,15°,12°,0 mm,0 cm,44 km/h,07:50,17:31,Tarragona
23 NOV,Jue,14°,10°,0 mm,0 cm,27 km/h,07:51,17:30,Tarragona
24 NOV,Vie,17°,9°,0 mm,0 cm,26 km/h,07:52,17:30,Tarragona
25 NOV,Sáb,13°,8°,0 mm,0 cm,26 km/h,07:53,17:29,Tarragona
12 NOV,Hoy,21°,12°,0 mm,0 cm,13 km/h,07:34,17:31,Girona
13 NOV,Mañ,24°,11°,0 mm,0 cm,5 km/h,07:35,17:30,Girona
14 NOV,Mar,26°,12°,0 mm,0 cm,8 km/h,07:36,17:29,Girona
15 NOV,Mié,17°,13°,0 mm,0 cm,11 km/h,07:38,17:28,Girona
16 NOV,Jue,20°,12°,0 mm,0 cm,11 km/h,07:39,17:27,Girona
17 NOV,Vie,16°,11°,0 mm,0 cm,6 km/h,07:40,17:26,Girona
18 NOV,Sáb,19°,9°,0 mm,0 cm,6 km/h,07:41,17:25,Girona
19 NOV,Dom,22°,10°,0 mm,0 cm,9 km/h,07:43,17:24,Girona
20 NOV,Lun,21°,11°,0 mm,0 cm,12 km/h,07:44,17:24,Girona
21 NOV,Mar,18°,10°,1 mm,0 cm,18 km/h,07:45,17:23,Girona
22 NOV,Mié,14°,8°,2 mm,0 cm,8 km/h,07:46,17:22,Girona
23 NOV,Jue,12°,5°,0 mm,0 cm,12 km/h,07:47,17:22,Girona
24 NOV,Vie,15°,3°,0 mm,0 cm,13 km/h,07:48,17:21,Girona
25 NOV,Sáb,10°,4°,0 mm,0 cm,12 km/h,07:50,17:21,Girona
12 NOV,Hoy,22°,14°,0 mm,0 cm,32 km/h,07:42,17:40,Lleida
13 NOV,Mañ,22°,11°,0 mm,0 cm,11 km/h,07:43,17:39,Lleida
14 NOV,Mar,22°,10°,0 mm,0 cm,16 km/h,07:44,17:38,Lleida
15 NOV,Mié,21°,12°,0 mm,0 cm,11 km/h,07:46,17:37,Lleida
16 NOV,Jue,20°,10°,0 mm,0 cm,14 km/h,07:47,17:37,Lleida
17 NOV,Vie,17°,9°,0 mm,0 cm,13 km/h,07:48,17:36,Lleida
18 NOV,Sáb,17°,7°,0 mm,0 cm,5 km/h,07:49,17:35,Lleida
19 NOV,Dom,19°,8°,0 mm,0 cm,5 km/h,07:50,17:34,Lleida
20 NOV,Lun,18°,8°,0 mm,0 cm,7 km/h,07:52,17:34,Lleida
21 NOV,Mar,17°,9°,0 mm,0 cm,27 km/h,07:53,17:33,Lleida
22 NOV,Mié,14°,9°,0 mm,0 cm,38 km/h,07:54,17:32,Lleida
23 NOV,Jue,12°,6°,0 mm,0 cm,18 km/h,07:55,17:32,Lleida
24 NOV,Vie,15°,3°,0 mm,0 cm,28 km/h,07:56,17:31,Lleida
25 NOV,Sáb,11°,4°,0 mm,0 cm,19 km/h,07:57,17:30,Lleida
12 NOV,Hoy,21°,17°,0 mm,0 cm,26 km/h,07:54,18:16,Ceuta
13 NOV,Mañ,20°,17°,0 mm,0 cm,8 km/h,07:55,18:15,Ceuta
14 NOV,Mar,22°,16°,0 mm,0 cm,12 km/h,07:56,18:15,Ceuta
15 NOV,Mié,21°,18°,0 mm,0 cm,14 km/h,07:57,18:14,Ceuta
16 NOV,Jue,20°,17°,0 mm,0 cm,13 km/h,07:58,18:13,Ceuta
17 NOV,Vie,20°,17°,0 mm,0 cm,14 km/h,07:59,18:13,Ceuta
18 NOV,Sáb,19°,18°,0 mm,0 cm,15 km/h,08:00,18:12,Ceuta
19 NOV,Dom,19°,17°,0 mm,0 cm,16 km/h,08:01,18:11,Ceuta
20 NOV,Lun,20°,17°,0 mm,0 cm,17 km/h,08:02,18:11,Ceuta
21 NOV,Mar,19°,17°,0 mm,0 cm,31 km/h,08:03,18:10,Ceuta
22 NOV,Mié,19°,15°,0 mm,0 cm,27 km/h,08:04,18:10,Ceuta
23 NOV,Jue,18°,16°,0 mm,0 cm,31 km/h,08:05,18:09,Ceuta
24 NOV,Vie,18°,16°,1 mm,0 cm,25 km/h,08:06,18:09,Ceuta
25 NOV,Sáb,17°,16°,2 mm,0 cm,23 km/h,08:07,18:09,Ceuta
12 NOV,Hoy,22°,19°,0 mm,0 cm,27 km/h,07:43,18:08,Melilla
13 NOV,Mañ,22°,17°,0 mm,0 cm,8 km/h,07:44,18:07,Melilla
14 NOV,Mar,22°,17°,0 mm,0 cm,7 km/h,07:45,18:06,Melilla
15 NOV,Mié,22°,17°,0 mm,0 cm,13 km/h,07:46,18:06,Melilla
16 NOV,Jue,21°,17°,0 mm,0 cm,10 km/h,07:47,18:05,Melilla
17 NOV,Vie,22°,17°,0 mm,0 cm,9 km/h,07:48,18:04,Melilla
18 NOV,Sáb,20°,16°,0 mm,0 cm,8 km/h,07:49,18:04,Melilla
19 NOV,Dom,20°,16°,0 mm,0 cm,10 km/h,07:50,18:03,Melilla
20 NOV,Lun,20°,16°,0 mm,0 cm,9 km/h,07:51,18:03,Melilla
21 NOV,Mar,20°,17°,0 mm,0 cm,28 km/h,07:52,18:02,Melilla
22 NOV,Mié,19°,15°,0 mm,0 cm,30 km/h,07:53,18:02,Melilla
23 NOV,Jue,19°,17°,0 mm,0 cm,29 km/h,07:54,18:01,Melilla
24 NOV,Vie,20°,16°,1 mm,0 cm,25 km/h,07:55,18:01,Melilla
25 NOV,Sáb,18°,15°,14 mm,0 cm,24 km/h,07:56,18:01,Melilla
12 NOV,Hoy,19°,12°,0 mm,0 cm,20 km/h,07:57,18:00,Madrid
13 NOV,Mañ,18°,12°,0 mm,0 cm,11 km/h,07:58,17:59,Madrid
14 NOV,Mar,18°,10°,0 mm,0 cm,8 km/h,07:59,17:58,Madrid
15 NOV,Mié,17°,10°,0 mm,0 cm,6 km/h,08:00,17:58,Madrid
16 NOV,Jue,18°,10°,0 mm,0 cm,5 km/h,08:01,17:57,Madrid
17 NOV,Vie,16°,9°,0 mm,0 cm,6 km/h,08:02,17:56,Madrid
18 NOV,Sáb,14°,9°,0 mm,0 cm,4 km/h,08:04,17:55,Madrid
19 NOV,Dom,16°,7°,0 mm,0 cm,6 km/h,08:05,17:55,Madrid
20 NOV,Lun,17°,8°,0 mm,0 cm,8 km/h,08:06,17:54,Madrid
21 NOV,Mar,14°,7°,0 mm,0 cm,19 km/h,08:07,17:53,Madrid
22 NOV,Mié,11°,3°,0 mm,0 cm,20 km/h,08:08,17:53,Madrid
23 NOV,Jue,12°,6°,0 mm,0 cm,11 km/h,08:09,17:52,Madrid
24 NOV,Vie,13°,5°,0 mm,0 cm,19 km/h,08:10,17:51,Madrid
25 NOV,Sáb,9°,3°,0 mm,0 cm,14 km/h,08:11,17:51,Madrid
12 NOV,Hoy,25°,18°,0 mm,0 cm,36 km/h,07:39,17:52,Alicante
13 NOV,Mañ,23°,16°,0 mm,0 cm,18 km/h,07:40,17:51,Alicante
14 NOV,Mar,27°,17°,0 mm,0 cm,17 km/h,07:41,17:50,Alicante
15 NOV,Mié,21°,17°,0 mm,0 cm,15 km/h,07:43,17:49,Alicante
16 NOV,Jue,22°,14°,0 mm,0 cm,17 km/h,07:44,17:49,Alicante
17 NOV,Vie,20°,15°,0 mm,0 cm,12 km/h,07:45,17:48,Alicante
18 NOV,Sáb,19°,13°,0 mm,0 cm,9 km/h,07:46,17:47,Alicante
19 NOV,Dom,19°,15°,0 mm,0 cm,8 km/h,07:47,17:47,Alicante
20 NOV,Lun,19°,15°,0 mm,0 cm,8 km/h,07:48,17:46,Alicante
21 NOV,Mar,22°,15°,0 mm,0 cm,20 km/h,07:49,17:45,Alicante
22 NOV,Mié,19°,11°,0 mm,0 cm,26 km/h,07:50,17:45,Alicante
23 NOV,Jue,19°,13°,1 mm,0 cm,27 km/h,07:51,17:44,Alicante
24 NOV,Vie,20°,11°,0 mm,0 cm,25 km/h,07:52,17:44,Alicante
25 NOV,Sáb,15°,11°,0 mm,0 cm,19 km/h,07:53,17:43,Alicante
12 NOV,Hoy,26°,18°,0 mm,0 cm,34 km/h,07:41,17:49,Valencia
13 NOV,Mañ,26°,15°,0 mm,0 cm,15 km/h,07:42,17:48,Valencia
14 NOV,Mar,28°,16°,0 mm,0 cm,12 km/h,07:44,17:47,Valencia
15 NOV,Mié,23°,14°,0 mm,0 cm,17 km/h,07:45,17:46,Valencia
16 NOV,Jue,25°,13°,0 mm,0 cm,18 km/h,07:46,17:46,Valencia
17 NOV,Vie,21°,13°,0 mm,0 cm,15 km/h,07:47,17:45,Valencia
18 NOV,Sáb,22°,12°,0 mm,0 cm,9 km/h,07:48,17:44,Valencia
19 NOV,Dom,21°,12°,0 mm,0 cm,8 km/h,07:49,17:44,Valencia
20 NOV,Lun,20°,12°,0 mm,0 cm,7 km/h,07:50,17:43,Valencia
21 NOV,Mar,22°,12°,0 mm,0 cm,19 km/h,07:51,17:42,Valencia
22 NOV,Mié,19°,10°,0 mm,0 cm,25 km/h,07:52,17:42,Valencia
23 NOV,Jue,18°,11°,0 mm,0 cm,18 km/h,07:53,17:41,Valencia
24 NOV,Vie,20°,10°,0 mm,0 cm,25 km/h,07:55,17:41,Valencia
25 NOV,Sáb,15°,9°,0 mm,0 cm,17 km/h,07:56,17:40,Valencia
12 NOV,Hoy,19°,13°,0 mm,0 cm,20 km/h,08:13,18:03,Álava
13 NOV,Mañ,20°,17°,10 mm,0 cm,20 km/h,08:15,18:02,Álava
14 NOV,Mar,18°,11°,8 mm,0 cm,21 km/h,08:16,18:01,Álava
15 NOV,Mié,17°,9°,2 mm,0 cm,11 km/h,08:17,18:00,Álava
16 NOV,Jue,16°,11°,0 mm,0 cm,18 km/h,08:19,17:59,Álava
17 NOV,Vie,17°,9°,0 mm,0 cm,7 km/h,08:20,17:59,Álava
18 NOV,Sáb,19°,8°,0 mm,0 cm,8 km/h,08:21,17:58,Álava
19 NOV,Dom,19°,8°,0 mm,0 cm,8 km/h,08:22,17:57,Álava
20 NOV,Lun,15°,7°,0 mm,0 cm,7 km/h,08:24,17:56,Álava
21 NOV,Mar,11°,7°,11 mm,0 cm,20 km/h,08:25,17:55,Álava
22 NOV,Mié,11°,6°,27 mm,0 cm,13 km/h,08:26,17:55,Álava
23 NOV,Jue,9°,8°,10 mm,0 cm,13 km/h,08:27,17:54,Álava
24 NOV,Vie,10°,6°,11 mm,0 cm,18 km/h,08:29,17:53,Álava
25 NOV,Sáb,7°,4°,13 mm,0 cm,9 km/h,08:30,17:53,Álava
12 NOV,Hoy,21°,14°,1 mm,0 cm,13 km/h,08:06,18:17,Badajoz
13 NOV,Mañ,21°,14°,0 mm,0 cm,6 km/h,08:07,18:16,Badajoz
14 NOV,Mar,20°,11°,0 mm,0 cm,7 km/h,08:09,18:15,Badajoz
15 NOV,Mié,20°,11°,0 mm,0 cm,9 km/h,08:10,18:14,Badajoz
16 NOV,Jue,21°,12°,0 mm,0 cm,9 km/h,08:11,18:13,Badajoz
17 NOV,Vie,18°,12°,0 mm,0 cm,6 km/h,08:12,18:13,Badajoz
18 NOV,Sáb,16°,11°,0 mm,0 cm,7 km/h,08:13,18:12,Badajoz
19 NOV,Dom,18°,10°,0 mm,0 cm,6 km/h,08:14,18:11,Badajoz
20 NOV,Lun,17°,9°,0 mm,0 cm,7 km/h,08:15,18:11,Badajoz
21 NOV,Mar,16°,10°,0 mm,0 cm,14 km/h,08:16,18:10,Badajoz
22 NOV,Mié,15°,7°,0 mm,0 cm,10 km/h,08:17,18:10,Badajoz
23 NOV,Jue,16°,8°,0 mm,0 cm,11 km/h,08:18,18:09,Badajoz
24 NOV,Vie,15°,10°,0 mm,0 cm,17 km/h,08:19,18:08,Badajoz
25 NOV,Sáb,14°,8°,0 mm,0 cm,12 km/h,08:21,18:08,Badajoz
12 NOV,Hoy,18°,14°,1 mm,0 cm,15 km/h,08:05,18:13,Cáceres
13 NOV,Mañ,19°,13°,0 mm,0 cm,7 km/h,08:06,18:12,Cáceres
14 NOV,Mar,20°,10°,0 mm,0 cm,9 km/h,08:08,18:11,Cáceres
15 NOV,Mié,20°,11°,0 mm,0 cm,7 km/h,08:09,18:10,Cáceres
16 NOV,Jue,19°,11°,0 mm,0 cm,8 km/h,08:10,18:10,Cáceres
17 NOV,Vie,18°,11°,0 mm,0 cm,6 km/h,08:11,18:09,Cáceres
18 NOV,Sáb,16°,9°,0 mm,0 cm,6 km/h,08:12,18:08,Cáceres
19 NOV,Dom,18°,8°,0 mm,0 cm,6 km/h,08:13,18:07,Cáceres
20 NOV,Lun,19°,9°,0 mm,0 cm,7 km/h,08:14,18:07,Cáceres
21 NOV,Mar,14°,10°,0 mm,0 cm,14 km/h,08:15,18:06,Cáceres
22 NOV,Mié,14°,6°,0 mm,0 cm,13 km/h,08:16,18:06,Cáceres
23 NOV,Jue,14°,9°,0 mm,0 cm,15 km/h,08:18,18:05,Cáceres
24 NOV,Vie,14°,8°,0 mm,0 cm,14 km/h,08:19,18:05,Cáceres
25 NOV,Sáb,11°,5°,0 mm,0 cm,15 km/h,08:20,18:04,Cáceres
12 NOV,Hoy,19°,14°,1 mm,0 cm,14 km/h,08:18,18:12,Ourense
13 NOV,Mañ,18°,16°,0 mm,0 cm,14 km/h,08:19,18:11,Ourense
14 NOV,Mar,17°,15°,8 mm,0 cm,12 km/h,08:20,18:11,Ourense
15 NOV,Mié,20°,12°,0 mm,0 cm,10 km/h,08:21,18:10,Ourense
16 NOV,Jue,18°,11°,2 mm,0 cm,11 km/h,08:23,18:09,Ourense
17 NOV,Vie,17°,8°,0 mm,0 cm,6 km/h,08:24,18:08,Ourense
18 NOV,Sáb,18°,8°,0 mm,0 cm,5 km/h,08:25,18:07,Ourense
19 NOV,Dom,16°,9°,0 mm,0 cm,5 km/h,08:26,18:06,Ourense
20 NOV,Lun,14°,8°,0 mm,0 cm,6 km/h,08:27,18:05,Ourense
21 NOV,Mar,12°,9°,0 mm,0 cm,12 km/h,08:29,18:05,Ourense
22 NOV,Mié,11°,6°,1 mm,0 cm,8 km/h,08:30,18:04,Ourense
23 NOV,Jue,12°,9°,1 mm,0 cm,9 km/h,08:31,18:03,Ourense
24 NOV,Vie,12°,7°,1 mm,0 cm,11 km/h,08:32,18:03,Ourense
25 NOV,Sáb,9°,4°,0 mm,0 cm,14 km/h,08:33,18:02,Ourense
12 NOV,Hoy,19°,15°,9 mm,0 cm,20 km/h,08:21,18:15,Pontevedra
13 NOV,Mañ,17°,17°,26 mm,0 cm,25 km/h,08:22,18:14,Pontevedra
14 NOV,Mar,17°,14°,15 mm,0 cm,23 km/h,08:23,18:13,Pontevedra
15 NOV,Mié,18°,12°,1 mm,0 cm,18 km/h,08:25,18:13,Pontevedra
16 NOV,Jue,17°,11°,7 mm,0 cm,19 km/h,08:26,18:12,Pontevedra
17 NOV,Vie,17°,10°,0 mm,0 cm,8 km/h,08:27,18:11,Pontevedra
18 NOV,Sáb,18°,12°,0 mm,0 cm,14 km/h,08:28,18:10,Pontevedra
19 NOV,Dom,18°,12°,0 mm,0 cm,8 km/h,08:30,18:09,Pontevedra
20 NOV,Lun,15°,11°,0 mm,0 cm,6 km/h,08:31,18:08,Pontevedra
21 NOV,Mar,14°,10°,0 mm,0 cm,15 km/h,08:32,18:08,Pontevedra
22 NOV,Mié,13°,9°,0 mm,0 cm,9 km/h,08:33,18:07,Pontevedra
23 NOV,Jue,13°,11°,0 mm,0 cm,11 km/h,08:34,18:06,Pontevedra
24 NOV,Vie,13°,9°,2 mm,0 cm,13 km/h,08:36,18:06,Pontevedra
25 NOV,Sáb,11°,7°,0 mm,0 cm,17 km/h,08:37,18:05,Pontevedra
12 NOV,Hoy,17°,13°,0 mm,0 cm,24 km/h,08:18,18:10,Lugo
13 NOV,Mañ,17°,15°,7 mm,0 cm,27 km/h,08:19,18:09,Lugo
14 NOV,Mar,16°,11°,6 mm,0 cm,26 km/h,08:21,18:08,Lugo
15 NOV,Mié,18°,10°,0 mm,0 cm,20 km/h,08:22,18:07,Lugo
16 NOV,Jue,15°,9°,1 mm,0 cm,19 km/h,08:23,18:06,Lugo
17 NOV,Vie,17°,9°,0 mm,0 cm,10 km/h,08:24,18:05,Lugo
18 NOV,Sáb,17°,10°,0 mm,0 cm,16 km/h,08:26,18:04,Lugo
19 NOV,Dom,16°,9°,0 mm,0 cm,8 km/h,08:27,18:03,Lugo
20 NOV,Lun,13°,8°,0 mm,0 cm,10 km/h,08:28,18:03,Lugo
21 NOV,Mar,11°,7°,3 mm,0 cm,18 km/h,08:29,18:02,Lugo
22 NOV,Mié,10°,6°,4 mm,0 cm,12 km/h,08:31,18:01,Lugo
23 NOV,Jue,10°,9°,1 mm,0 cm,14 km/h,08:32,18:00,Lugo
24 NOV,Vie,10°,6°,2 mm,0 cm,16 km/h,08:33,18:00,Lugo
25 NOV,Sáb,8°,3°,0 mm,0 cm,16 km/h,08:34,17:59,Lugo
12 NOV,Hoy,27°,14°,0 mm,0 cm,24 km/h,07:41,17:55,Murcia
13 NOV,Mañ,27°,13°,0 mm,0 cm,10 km/h,07:42,17:54,Murcia
14 NOV,Mar,29°,15°,0 mm,0 cm,11 km/h,07:43,17:53,Murcia
15 NOV,Mié,25°,15°,0 mm,0 cm,16 km/h,07:44,17:53,Murcia
16 NOV,Jue,27°,12°,0 mm,0 cm,7 km/h,07:45,17:52,Murcia
17 NOV,Vie,24°,14°,0 mm,0 cm,12 km/h,07:46,17:51,Murcia
18 NOV,Sáb,24°,12°,0 mm,0 cm,6 km/h,07:48,17:51,Murcia
19 NOV,Dom,24°,12°,0 mm,0 cm,7 km/h,07:49,17:50,Murcia
20 NOV,Lun,23°,10°,0 mm,0 cm,6 km/h,07:50,17:49,Murcia
21 NOV,Mar,24°,13°,0 mm,0 cm,16 km/h,07:51,17:49,Murcia
22 NOV,Mié,20°,10°,0 mm,0 cm,24 km/h,07:52,17:48,Murcia
23 NOV,Jue,20°,11°,0 mm,0 cm,18 km/h,07:53,17:48,Murcia
24 NOV,Vie,21°,8°,0 mm,0 cm,15 km/h,07:54,17:47,Murcia
25 NOV,Sáb,15°,8°,2 mm,0 cm,11 km/h,07:55,17:47,Murcia
